1. After Midnight,5,5
2. Aiko-Aiko,6,6
3. Alabama Getaway,7,7
4. All Along the Watchtower,8,8
5. Alligator,9,9
6. Althea,10,10
7. Amazing Grace,11,11
8. And It Stoned Me,12,12
9. Arkansas Traveler,13,13
10. Around and Around,14,14
11. Attics of My Life,15,15
12. Baba O’Riley --> Tomorrow Never Knows,16,16
13. Ballad of a Thin Man,17,17
14. Beat it on Down The Line,18,18
15. Believe It Or Not,19,19
16. Bertha,20,20
17. Big Boss Man,21,21
18. Big Railroad Blues,22,22
19. Big River,23,23
20. Birdsong,24,24
21. Black Muddy River,25,25
22. Black Peter,26,26
23. Black Throated Wind,27,27
24. Blackbird,28,28
25. Blow Away,29,29
26. Blue-Eyed Boston Boy,30,30
27. Blues for Allah,31,31
28. Blue Yodel #9,32,32
29. Box of Rain,33,33
30. Bright Side of the Road,34,34
31. Brokedown Palace (in F),35,35
32. Brokedown Palace (in G),36,36
33. Broken Arrow,37,37
34. Brother Esau,38,38
35. Brothers and Sisters,39,39
36. Brown Eyed Women,40,40
37. Built to Last,41,41
38. C. C. Rider,42,42
39. California Earthquake,43,43
40. Candyman,44,44
41. Casey Jones,45,45
42. Casey Jones (Ballad of),46,46
43. Cassidy,47,47
44. Catfish John,48,48
45. Cats Down Under the Stars,49,49
46. Chimes of Freedom,50,50
47. . . . blank page,51,51
48. China Cat Sunflower,52,52
49. I Know You Rider,53,53
50. China Doll,54,54
51. Cold Rain and Snow,55,55
52. Comes A Time,56,56
53. Corina,57,57
54. Cosmic Charlie,58,58
55. Crazy Fingers,59,59
56. Crazy Love,60,60
57. Cumberland Blues,61,61
58. Dancing in the Streets,62,62
59. Dark Hollow,63,63
60. Dark Star,64,64
61. Dawg’s Waltz,65,65
62. Day Job,66,66
63. Day Tripper,67,67
64. Days Between,68,68
65. Deal,69,69
66. Dear Mr. Fantasy,70,70
67. Dear Prudence,71,71
68. Death Don't Have No Mercy,72,72
69. Deep Elem Blues,73,73
70. Desolation Row,74,74
71. Dire Wolf,75,75
72. Doin' That Rag,76,76
73. Don't Ease Me In,77,77
74. Don’t Let Go,78,78
75. Drifting Too Far From The Shore,79,79
76. Dupree's Diamond Blues,80,80
77. Easy To Love You,81,81
78. Easy Wind,82,82
79. El Paso,83,83
80. Expressway,84,84
81. . . . blank page,85,85
82. Estimated Prophet,86,86
83. Eyes of the World,87,87
84. Evangeline,88,88
85. Everybody Needs Somebody to Love,89,89
86. Eyes of the Maker,90,90
87. Far From Me,91,91
88. Feel Like A Stranger,92,92
89. Fever,93,93
90. Foolish Heart,94,94
91. Forever Younf,95,95
